Date;Overall AQI Value;Main Pollutant;Site Name (of Overall AQI);Site ID (of Overall AQI);Source (of Overall AQI);CO;Ozone;PM10;PM25;NO2
1/1/2015;49;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;26;19;49;22
1/2/2015;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;26;19;60;47
1/3/2015;71;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;9;10;25;71;31
1/4/2015;71;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;31;19;71;43
1/5/2015;52;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;28;25;52;41
1/6/2015;63;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;31;20;63;53
1/7/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;31;24;67;64
1/8/2015;52;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;7;30;35;52;44
1/9/2015;73;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;32;23;73;41
1/10/2015;55;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;7;29;28;55;34
1/11/2015;55;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;7;24;26;55;29
1/12/2015;64;PM2.5;CITY HALL;17-043-4002;AQS;9;35;26;64;27
1/13/2015;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;18;34;23;61;53
1/14/2015;88;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;27;66;88;57
1/15/2015;93;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;27;55;93;47
1/16/2015;75;PM2.5;GRAVES ES;17-031-3301;AQS;9;35;35;75;53
1/17/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;31;45;67;32
1/18/2015;65;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;6;30;18;65;33
1/19/2015;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;11;29;27;61;54
1/20/2015;81;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;31;37;81;38
1/21/2015;78;PM2.5;Gary- Madison St./ Gary Water/ IN American Water Co.;18-089-0031;AQS;7;28;21;78;39
1/22/2015;64;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;26;31;64;38
1/23/2015;58;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;3;25;32;58;36
1/24/2015;74;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;7;25;28;74;28
1/25/2015;55;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;36;17;55;24
1/26/2015;57;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;28;29;57;54
1/27/2015;66;PM2.5;CITY HALL;17-043-4002;AQS;8;39;27;66;45
1/28/2015;74;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;31;51;74;55
1/29/2015;63;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;31;25;63;36
1/30/2015;71;PM2.5;IEPA TRAILER;17-031-3103;AQS;11;34;35;71;39
1/31/2015;59;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;25;40;59;39
2/1/2015;52;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;8;36;17;52;23
2/2/2015;59;PM2.5;MCKINLEY SCHOOL;17-089-0003;AQS;14;35;17;59;33
2/3/2015;67;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;8;28;31;67;43
2/4/2015;74;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;31;32;74;55
2/5/2015;72;NO2;IEPA TRAILER;17-031-3103;AQS;9;34;32;71;72
2/6/2015;72;PM2.5;GRAVES ES;17-031-3301;AQS;7;31;38;72;43
2/7/2015;81;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;7;38;32;81;41
2/8/2015;86;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;9;30;31;86;43
2/9/2015;51;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;13;36;18;51;34
2/10/2015;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;39;33;60;47
2/11/2015;83;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;30;32;83;28
2/12/2015;57;PM10;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;34;57;56;38
2/13/2015;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;28;46;60;43
2/14/2015;98;PM10;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;32;98;70;24
2/15/2015;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;36;26;60;34
2/16/2015;67;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;15;36;61;67;49
2/17/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;11;37;42;67;32
2/18/2015;81;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;35;64;81;35
2/19/2015;78;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;33;57;78;41
2/20/2015;69;PM2.5;MCKINLEY SCHOOL;17-089-0003;AQS;7;31;56;69;49
2/21/2015;87;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;30;54;87;40
2/22/2015;68;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;38;33;68;30
2/23/2015;65;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;34;32;65;42
2/24/2015;63;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;38;52;63;33
2/25/2015;41;PM10;VILLAGE HALL;17-031-1016;AQS;9;38;41;36;35
2/26/2015;57;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;34;24;57;43
2/27/2015;73;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;11;40;46;73;48
2/28/2015;75;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;16;46;46;75;71
3/1/2015;80;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;6;45;32;80;47
3/2/2015;74;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;8;41;48;74;42
3/3/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;38;30;67;39
3/4/2015;78;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;41;38;78;36
3/5/2015;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;43;32;61;43
3/6/2015;70;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;3;45;43;70;44
3/7/2015;71;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;3;48;31;71;42
3/8/2015;59;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;43;17;59;42
3/9/2015;76;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;44;19;76;71
3/10/2015;88;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;7;41;31;88;52
3/11/2015;81;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;16;43;36;81;56
3/12/2015;63;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;10;44;17;63;61
3/13/2015;105;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;6;38;55;105;46
3/14/2015;59;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;40;43;59;45
3/15/2015;56;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;8;43;30;56;46
3/16/2015;62;PM10;WASHINGTON HS;17-031-0022;AQS;7;49;62;61;38
3/17/2015;85;PM10;Portage- Hwy 12;18-127-0023;AQS;11;41;85;52;49
3/18/2015;53;NO2;CTA BUILDING;17-031-0063;AQS;11;43;44;52;53
3/19/2015;64;PM10;VILLAGE HALL;17-031-1016;AQS;11;43;64;55;49
3/20/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;40;45;67;43
3/21/2015;56;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;39;27;56;35
3/22/2015;79;PM2.5;VILLAGE HALL;17-031-1016;AQS;9;39;18;79;25
3/23/2015;56;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;14;37;20;56;28
3/24/2015;58;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;22;43;38;58;34
3/25/2015;70;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;30;29;70;34
3/26/2015;38;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;11;37;30;38;36
3/27/2015;57;PM10;Portage- Hwy 12;18-127-0023;AQS;13;42;57;29;27
3/28/2015;46;NO2;CTA BUILDING;17-031-0063;AQS;14;45;22;42;46
3/29/2015;57;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;34;26;57;45
3/30/2015;51;PM10;VILLAGE HALL;17-031-1016;AQS;7;42;51;47;40
3/31/2015;60;PM2.5;IEPA TRAILER;17-031-3103;AQS;9;44;43;60;50
4/1/2015;139;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;64;69;139;60
4/2/2015;65;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;40;37;65;44
4/3/2015;42;NO2;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;9;30;36;41;42
4/4/2015;50;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;42;28;50;47
4/5/2015;54;Ozone;COM ED MAINTENANCE BLDG;17-031-0076;AQS;7;54;25;52;49
4/6/2015;58;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;15;38;52;58;41
4/7/2015;69;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;24;40;32;69;24
4/8/2015;67;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;19;35;48;67;28
4/9/2015;66;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;17;32;36;66;31
4/10/2015;51;PM2.5;CARY GROVE HS;17-111-0001;AQS;9;43;30;51;31
4/11/2015;54;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;49;23;54;52
4/12/2015;57;PM2.5;VILLAGE HALL;17-031-1016;AQS;9;50;29;57;37
4/13/2015;52;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;10;45;29;52;44
4/14/2015;65;PM10;Portage- Hwy 12;18-127-0023;AQS;16;49;65;47;50
4/15/2015;81;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;13;61;52;81;45
4/16/2015;60;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;14;46;40;60;55
4/17/2015;90;Ozone;NORTHBROOK WATER PLANT;17-031-4201;AQS;15;90;72;80;73
4/18/2015;71;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;15;67;58;71;60
4/19/2015;54;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;14;48;31;54;29
4/20/2015;52;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;14;32;23;52;22
4/21/2015;54;PM2.5;KANE COUNTY HEALTH DEPT;17-089-0007;AQS;10;42;51;54;26
4/22/2015;41;PM2.5;GRAVES ES;17-031-3301;AQS;13;40;34;41;38
4/23/2015;63;NO2;COOK COUNTY TRAILER;17-031-4002;AQS;14;48;33;52;63
4/24/2015;74;PM10;VILLAGE HALL;17-031-1016;AQS;8;58;74;71;74
4/25/2015;62;PM2.5;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;8;49;24;62;17
4/26/2015;41;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;8;41;15;33;38
4/27/2015;44;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;15;42;37;44;37
4/28/2015;55;NO2;CTA BUILDING;17-031-0063;AQS;13;44;30;44;55
4/29/2015;65;NO2;CTA BUILDING;17-031-0063;AQS;15;43;51;50;65
4/30/2015;65;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;8;32;41;65;29
5/1/2015;52;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;10;49;48;52;46
5/2/2015;100;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;9;100;65;59;58
5/3/2015;74;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;7;74;46;60;35
5/4/2015;71;Ozone;WATER PLANT;17-031-7002;AQS;8;71;41;64;40
5/5/2015;74;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;9;44;37;74;30
5/6/2015;90;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;8;80;62;90;48
5/7/2015;122;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;7;122;64;64;47
5/8/2015;61;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;9;61;54;56;38
5/9/2015;57;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;15;36;23;57;24
5/10/2015;51;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;17;21;16;51;18
5/11/2015;52;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;15;39;36;52;28
5/12/2015;55;PM2.5;CARY GROVE HS;17-111-0001;AQS;8;33;16;55;22
5/13/2015;43;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;14;43;16;38;26
5/14/2015;52;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;10;49;51;52;32
5/15/2015;69;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;14;46;57;69;50
5/16/2015;66;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;14;46;49;66;43
5/17/2015;56;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;9;42;41;56;16
5/18/2015;52;PM2.5;GRAVES ES;17-031-3301;AQS;8;44;47;52;25
5/19/2015;51;PM2.5;WASHINGTON HS;17-031-0022;AQS;7;39;30;51;18
5/20/2015;45;Ozone;Whiting- Whiting HS;18-089-0030;AQS;9;45;30;36;40
5/21/2015;58;Ozone;VILLAGE GARAGE;17-031-0001;AQS;10;58;38;54;43
5/22/2015;49;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;14;49;44;49;31
5/23/2015;97;Ozone;VILLAGE GARAGE;17-031-0001;AQS;9;97;50;55;55
5/24/2015;78;PM2.5;WASHINGTON HS;17-031-0022;AQS;9;67;45;78;45
5/25/2015;52;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;9;47;31;52;37
5/26/2015;54;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;7;47;39;54;26
5/27/2015;51;PM2.5;VILLAGE HALL;17-031-1016;AQS;8;45;40;51;37
5/28/2015;80;Ozone;CARY GROVE HS;17-111-0001;AQS;8;80;70;60;42
5/29/2015;60;PM10;VILLAGE HALL;17-031-1016;AQS;8;48;60;59;44
5/30/2015;49;PM2.5;COM ED MAINTENANCE BLDG;17-031-0076;AQS;8;31;27;49;23
5/31/2015;33;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;15;26;25;33;15
6/1/2015;44;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;15;39;26;44;37
6/2/2015;61;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;11;61;49;55;40
6/3/2015;84;Ozone;KENOSHA - WATER TOWER;55-059-0025;AQS;13;84;53;61;54
6/4/2015;90;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;10;90;72;68;49
6/5/2015;58;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;10;48;39;58;18
6/6/2015;55;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;16;48;37;55;34
6/7/2015;63;PM2.5;CARY GROVE HS;17-111-0001;AQS;9;43;39;63;35
6/8/2015;64;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;10;64;43;60;33
6/9/2015;105;Ozone;Whiting- Whiting HS;18-089-0030;AQS;17;105;56;74;42
6/10/2015;100;Ozone;WATER PLANT;17-031-7002;AQS;20;100;54;65;36
6/11/2015;85;PM2.5;GRAVES ES;17-031-3301;AQS;19;48;58;85;42
6/12/2015;61;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;22;41;38;61;28
6/13/2015;66;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;11;54;46;66;34
6/14/2015;57;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;8;43;26;57;36
6/15/2015;61;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;8;37;32;61;36
6/16/2015;54;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;13;40;31;54;23
6/17/2015;64;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;14;36;44;64;39
6/18/2015;66;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;14;47;48;66;34
6/19/2015;55;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;24;39;34;55;27
6/20/2015;65;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;15;43;37;65;37
6/21/2015;67;Ozone;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;9;67;36;59;34
6/22/2015;77;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;9;35;55;77;37
6/23/2015;77;Ozone;VILLAGE GARAGE;17-031-0001;AQS;10;77;35;60;37
6/24/2015;64;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;10;49;53;64;45
6/25/2015;65;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;18;64;36;65;37
6/26/2015;82;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;18;49;38;82;34
6/27/2015;63;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;16;47;29;63;28
6/28/2015;72;PM2.5;CARY GROVE HS;17-111-0001;AQS;11;50;39;72;37
6/29/2015;76;PM2.5;GRAVES ES;17-031-3301;AQS;11;50;41;76;43
6/30/2015;65;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;19;64;47;65;39
7/1/2015;55;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;19;36;31;55;26
7/2/2015;59;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;17;45;20;59;23
7/3/2015;67;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;17;67;29;63;41
7/4/2015;134;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;16;90;86;134;54
7/5/2015;195;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;18;115;96;195;61
7/6/2015;83;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;11;43;59;83;34
7/7/2015;62;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;14;35;33;62;22
7/8/2015;56;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;14;35;39;56;20
7/9/2015;70;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;14;46;49;70;46
7/10/2015;133;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;10;133;54;79;54
7/11/2015;84;Ozone;KENOSHA - WATER TOWER;55-059-0025;AQS;11;84;68;80;48
7/12/2015;75;PM2.5;CARY GROVE HS;17-111-0001;AQS;9;67;44;75;29
7/13/2015;58;PM2.5;CARY GROVE HS;17-111-0001;AQS;7;48;42;58;31
7/14/2015;56;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;11;44;49;56;29
7/15/2015;57;PM2.5;CARY GROVE HS;17-111-0001;AQS;13;42;36;57;13
7/16/2015;76;PM2.5;CARY GROVE HS;17-111-0001;AQS;8;42;46;76;32
7/17/2015;84;Ozone;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;8;84;50;63;42
7/18/2015;71;Ozone;NORTHBROOK WATER PLANT;17-031-4201;AQS;9;71;41;66;28
7/19/2015;57;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;8;44;19;57;37
7/20/2015;56;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;9;46;31;56;34
7/21/2015;54;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;7;45;21;54;44
7/22/2015;61;Ozone;VILLAGE GARAGE;17-031-0001;AQS;9;61;31;56;43
7/23/2015;156;Ozone;WATER PLANT;17-031-7002;AQS;8;156;43;67;53
7/24/2015;93;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;8;93;38;72;58
7/25/2015;126;Ozone;Whiting- Whiting HS;18-089-0030;AQS;8;126;31;74;28
7/26/2015;70;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;9;44;24;70;23
7/27/2015;93;Ozone;MORTON ARBORETUM;17-043-6001;AQS;10;93;23;68;28
7/28/2015;105;Ozone;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;105;34;72;38
7/29/2015;62;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;8;50;28;62;23
7/30/2015;63;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;51;45;63;26
7/31/2015;61;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;51;59;61;26
8/1/2015;59;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;8;58;32;59;32
8/2/2015;67;Ozone;CARY GROVE HS;17-111-0001;AQS;7;67;30;64;12
8/3/2015;55;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;9;51;19;55;33
8/4/2015;87;Ozone;Whiting- Whiting HS;18-089-0030;AQS;7;87;25;56;37
8/5/2015;64;Ozone;COOK COUNTY TRAILER;17-031-1601;AQS;9;64;29;60;46
8/6/2015;71;Ozone;Whiting- Whiting HS;18-089-0030;AQS;10;71;21;61;27
8/7/2015;61;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;8;49;17;61;32
8/8/2015;60;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;13;48;31;60;28
8/9/2015;75;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;10;47;22;75;25
8/10/2015;68;PM2.5;East Chicago- Franklin School/ Washington School (Ben. Franklin);18-089-0006;AQS;14;45;34;68;32
8/11/2015;59;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;13;36;24;59;32
8/12/2015;55;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;11;45;23;55;32
8/13/2015;58;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;11;47;33;58;32
8/14/2015;60;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;11;49;35;60;28
8/15/2015;105;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;11;105;23;59;33
8/16/2015;71;Ozone;COM ED MAINTENANCE BLDG;17-031-0076;AQS;11;71;26;66;25
8/17/2015;67;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;11;64;28;67;28
8/18/2015;90;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;7;90;11;56;31
8/19/2015;53;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;34;16;53;21
8/20/2015;55;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;37;31;55;29
8/21/2015;55;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;8;48;37;55;27
8/22/2015;60;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;8;58;25;60;25
8/23/2015;60;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;8;34;21;60;21
8/24/2015;52;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;7;35;31;52;20
8/25/2015;53;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;8;39;25;53;21
8/26/2015;56;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;9;32;17;56;26
8/27/2015;70;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;13;43;29;70;35
8/28/2015;71;PM2.5;GRAVES ES;17-031-3301;AQS;10;41;31;71;34
8/29/2015;76;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;11;44;20;76;26
8/30/2015;89;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;16;51;19;89;27
8/31/2015;84;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;15;61;47;84;57
9/1/2015;81;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;13;74;37;81;32
9/2/2015;115;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;8;115;45;81;36
9/3/2015;68;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;9;61;36;68;28
9/4/2015;71;Ozone;COOK COUNTY TRAILER;17-031-1601;AQS;11;71;34;64;26
9/5/2015;70;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;9;54;23;70;27
9/6/2015;105;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;8;105;28;72;22
9/7/2015;100;Ozone;WATER PLANT;17-031-7002;AQS;9;100;30;71;29
9/8/2015;69;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;9;38;24;69;25
