Date;Overall AQI Value;Main Pollutant;Site Name (of Overall AQI);Site ID (of Overall AQI);Source (of Overall AQI);CO;Ozone;PM10;PM25;NO2
10/9/2017;56;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;46;30;56;44
10/10/2017;62;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;32;34;62;13
10/11/2017;38;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;5;37;6;38;17
10/12/2017;52;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;5;33;10;52;23
10/13/2017;54;PM2.5;IEPA TRAILER;17-031-3103;AQS;3;38;18;54;29
10/14/2017;56;PM2.5;CITY HALL;17-043-4002;AQS;6;33;16;56;30
10/15/2017;46;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;3;30;24;46;27
10/16/2017;41;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;5;32;21;41;40
10/17/2017;42;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;5;42;32;35;32
10/18/2017;51;PM2.5;CITY HALL;17-043-4002;AQS;2;47;25;51;34
10/19/2017;52;PM2.5;IEPA TRAILER;17-031-3103;AQS;6;41;26;52;47
10/20/2017;71;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;61;40;71;42
10/21/2017;57;PM2.5;CITY HALL;17-043-4002;AQS;3;44;24;57;20
10/22/2017;52;PM2.5;CARY GROVE HS;17-111-0001;AQS;3;41;16;52;18
10/23/2017;41;Ozone;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;5;41;8;37;33
10/24/2017;32;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;2;23;6;32;25
10/25/2017;52;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;6;29;14;52;35
10/26/2017;53;PM2.5;SPRINGFIELD PUMP STATION;17-031-0057;AQS;7;32;15;53;31
10/27/2017;37;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;2;24;21;37;21
10/28/2017;28;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;2;28;6;27;17
10/29/2017;38;PM2.5;CARY GROVE HS;17-111-0001;AQS;2;35;9;38;34
10/30/2017;43;PM2.5;CARY GROVE HS;17-111-0001;AQS;2;27;25;43;18
10/31/2017;37;PM2.5;CARY GROVE HS;17-111-0001;AQS;2;28;21;37;29
11/1/2017;55;PM2.5;CARY GROVE HS;17-111-0001;AQS;2;21;12;55;31
11/2/2017;59;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;16;10;59;25
11/3/2017;54;PM2.5;IEPA TRAILER;17-031-3103;AQS;5;28;17;54;22
11/4/2017;59;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;6;22;10;59;19
11/5/2017;66;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;7;18;16;66;24
11/6/2017;53;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;6;27;18;53;26
11/7/2017;51;PM2.5;CITY HALL;17-043-4002;AQS;7;31;18;51;38
11/8/2017;62;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;8;31;46;62;44
11/9/2017;54;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;9;33;34;54;40
11/10/2017;49;PM2.5;NORTHBROOK WATER PLANT;17-031-4201;AQS;6;31;35;49;42
11/11/2017;54;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;7;23;17;54;30
11/12/2017;73;PM2.5;VILLAGE GARAGE;17-031-0001;AQS;6;15;25;73;39
